# sealsonline.com/en/flabed — old category URL scheme → live scheme (verified live 2026-09-26)
# Paths are relative to https://www.sealsonline.com/en/flabed/categories/
# old scheme: {inch|metric}/{group}[/{profile}] and hard-parts/{group}; live scheme: {group}/{group}-{inch|metric}[/{profile}]
# note: exact = same profile slug; parent = profile no longer on the live site, send to its sub-category page
old_path,new_path,what,note
metric/rod-seals/ra-n,rod-seals/rod-seals-metric/ra-n,profile RA/N,exact
metric/rod-seals/rc,rod-seals/rod-seals-metric/rc,profile RC,exact
metric/rod-seals/rc-30-k,rod-seals/rod-seals-metric,profile RC/30K,parent
metric/rod-seals/rc-aer,rod-seals/rod-seals-metric/rc-aer,profile RC/AER,exact
metric/rod-seals/re,rod-seals/rod-seals-metric/re,profile RE,exact
metric/rod-seals/rh,rod-seals/rod-seals-metric/rh,profile RH,exact
metric/rod-seals/rv,rod-seals/rod-seals-metric/rv,profile RV,exact
metric/rod-seals/rx,rod-seals/rod-seals-metric/rx,profile RX,exact
metric/rod-seals/rz,rod-seals/rod-seals-metric/rz,profile RZ,exact
metric/rod-seals/r-5-u,rod-seals/rod-seals-metric/r-5-u,profile R5/U,exact
metric/rod-seals/r-12,rod-seals/rod-seals-metric/r-12,profile R12,exact
metric/rod-seals/r-19,rod-seals/rod-seals-metric/r-19,profile R19,exact
metric/rod-seals/r-16,rod-seals/rod-seals-metric/r-16,profile R16,exact
metric/rod-seals/sd-n,rod-seals/rod-seals-metric/sd-n-st-n-sd-t-st-t,profile SD/N,merged
metric/rod-seals/st-n,rod-seals/rod-seals-metric/sd-n-st-n-sd-t-st-t,profile ST/N,merged
metric/rod-seals/sd-t,rod-seals/rod-seals-metric/sd-n-st-n-sd-t-st-t,profile SD/T,merged
metric/rod-seals/st-t,rod-seals/rod-seals-metric/sd-n-st-n-sd-t-st-t,profile ST/T,merged
inch/symmetrical-seals/standard-polypak,symmetrical-seals/symmetrical-seals-inch/standard-polypak,profile Standard Polypak,exact
inch/symmetrical-seals/deep-polypak,symmetrical-seals/symmetrical-seals-inch/deep-polypak,profile Deep Polypak,exact
